0.2082
0.3200
0.0499
state,currentTime,x,y,liftoff,acc,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,prev_errorX,prev_errorY,flightTime,dt,x_origin,y_origin, pressure
Ground, 30019383.00,0.0000,-0.6875,0.0300,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0304,0.0000,0.0000,98582.0584
Ground, 30060692.00,0.0000,-0.6875,-0.0100,9.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0288,0.0000,0.0000,98582.1831
Ground, 30105330.00,0.0000,-0.6875,-0.0100,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0304,0.0000,0.0000,98583.6525
Ground, 30143981.00,0.0000,-0.6875,0.0000,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0249,0.0000,0.0000,98581.9978
Ground, 30183855.00,0.0000,-0.6875,0.0000,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0254,0.0000,0.0000,98581.6675
Ground, 30224367.00,0.0000,-0.6875,0.0400,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0268,0.0000,0.0000,98582.1786
Ground, 30269458.00,0.0000,-0.6875,0.0200,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0306,0.0000,0.0000,98582.4620
Ground, 30310767.00,0.0000,-0.6875,-0.0100,9.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0288,0.0000,0.0000,98582.8999
Ground, 30355295.00,0.0000,-0.6875,0.0100,9.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0303,0.0000,0.0000,98583.1699
Ground, 30394054.00,0.0000,-0.6875,0.0000,9.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0249,0.0000,0.0000,98580.8380
Ground, 30434034.00,0.0000,-0.6875,0.0000,9.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0255,0.0000,0.0000,98582.1834
Ground, 30479425.00,0.0000,-0.6875,-0.0300,9.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0312,0.0000,0.0000,98581.6215
Ground, 30512188.00,0.0000,-0.6875,-0.0500,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0260,0.0000,0.0000,98581.0782
Ground, 30549762.00,0.0000,-0.6875,-0.0400,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98.2735,83.5443,0.0000,0.0000,0.0000,0.0224,0.0000,0.0000,98581.6685
