0.2082
0.3200
0.0499
state,currentTime,x,y,liftoff,errorX,errorY,proportionalX,proportionalY,integralX,integralY,derivativeX,derivativeY,MotorAngleX,MotorAngleY,OutputX,OutputY,prev_errorX,prev_errorY,flightTime,dt,x_origin,y_origin, pressure, rbfp, reset
PHASE 2, 14500102.00,21.7500,9.0000,3.9900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.4921,0.0281,0.0000,-1.0000,99316.1620,0,0
PHASE 2, 14535986.00,21.6250,8.8750,3.5900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.5280,0.0234,0.0000,-1.0000,99316.8381,0,0
PHASE 2, 14574897.00,21.5625,8.8125,3.1500,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.5669,0.0264,0.0000,-1.0000,99316.8796,0,0
PHASE 2, 14613161.00,21.6875,8.6875,3.8200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.6052,0.0258,0.0000,-1.0000,99317.4318,0,0
PHASE 2, 14658590.00,21.8750,8.6875,4.7100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.6506,0.0302,0.0000,-1.0000,99318.4660,0,0
PHASE 2, 14699033.00,21.8750,8.4375,3.5800,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.6910,0.0279,0.0000,-1.0000,99318.9481,0,0
PHASE 2, 14741265.00,22.0625,8.1875,3.6200,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.7333,0.0297,0.0000,-1.0000,99319.2668,0,0
PHASE 2, 14778924.00,22.1875,8.0625,5.1000,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.7709,0.0252,0.0000,-1.0000,99317.2407,0,0
PHASE 2, 14821045.00,22.0000,7.7500,0.4100,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.8131,0.0296,0.0000,-1.0000,99317.6062,0,0
PHASE 2, 14861499.00,22.1875,8.2500,4.7300,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.8535,0.0280,0.0000,-1.0000,99316.0798,0,0
PHASE 2, 14897103.00,22.1250,9.3750,3.1700,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.8891,0.0221,0.0000,-1.0000,99315.6107,0,0
PHASE 2, 14935446.00,22.1250,10.1250,3.6900,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.9275,0.0247,0.0000,-1.0000,99315.6107,0,0
PHASE 2, 14971543.00,22.3750,10.5000,2.8600,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,3.9636,0.0236,0.0000,-1.0000,99315.2816,0,0
PHASE 2, 15008947.00,22.9375,10.3750,3.4000,5.0000,5.0000,1.0413,1.0413,0.0000,0.0000,0.0000,0.0000,-1.0413,1.0413,77.4289,86.0814,5.0000,5.0000,4.0010,0.0249,0.0000,-1.0000,99317.7837,0,0
